META DATA:
66 (объем бочки)
33 (текущий объем воды в бочке)
2020-08-24T01:19:44.406Z - [username3] - wanna scoop 39| (фэйл)
2022-01-10T17:19:44.533Z - [username7] - wanna scoop 44| (фэйл)
2022-01-10T18:19:44.533Z - [username4] - wanna top up 23| (успех)
2022-01-10T19:19:44.533Z - [username9] - wanna top up 15| (фэйл)
2022-01-10T20:19:44.533Z - [username6] - wanna top up 10| (успех)
2022-01-10T21:19:44.533Z - [username9] - wanna scoop 30| (успех)
2022-01-10T22:19:44.533Z - [username6] - wanna scoop 28| (успех)
2022-01-10T23:19:44.533Z - [username10] - wanna scoop 24| (фэйл)
2022-01-11T00:19:44.533Z - [username4] - wanna scoop 37| (фэйл)
2022-01-11T01:19:44.533Z - [username10] - wanna scoop 10| (фэйл)
2022-01-11T02:19:44.533Z - [username7] - wanna scoop 19| (фэйл)
2022-01-11T03:19:44.533Z - [username5] - wanna top up 12| (успех)
2022-01-11T04:19:44.533Z - [username1] - wanna top up 14| (успех)
2022-01-11T05:19:44.533Z - [username3] - wanna top up 40| (фэйл)
2022-01-11T06:19:44.533Z - [username3] - wanna top up 38| (фэйл)
2022-01-11T07:19:44.533Z - [username6] - wanna scoop 24| (успех)
2022-01-11T08:19:44.533Z - [username9] - wanna scoop 17| (фэйл)
2022-01-11T09:19:44.533Z - [username8] - wanna scoop 47| (фэйл)
2022-01-11T10:19:44.533Z - [username7] - wanna top up 48| (успех)
2022-01-11T11:19:44.533Z - [username5] - wanna scoop 32| (успех)
2022-01-11T12:19:44.533Z - [username1] - wanna scoop 10| (успех)
2022-01-11T13:19:44.533Z - [username10] - wanna top up 39| (успех)
2022-01-11T14:19:44.533Z - [username4] - wanna scoop 36| (успех)
2022-01-11T15:19:44.533Z - [username3] - wanna scoop 25| (фэйл)
2022-01-11T16:19:44.533Z - [username10] - wanna top up 25| (успех)
2022-01-11T17:19:44.533Z - [username8] - wanna scoop 43| (фэйл)
2022-01-11T18:19:44.533Z - [username9] - wanna top up 16| (успех)
2022-01-11T19:19:44.533Z - [username1] - wanna scoop 50| (успех)
2022-01-11T20:19:44.533Z - [username2] - wanna top up 33| (успех)
2022-01-11T21:19:44.533Z - [username8] - wanna top up 29| (фэйл)
2022-01-11T22:19:44.533Z - [username4] - wanna top up 12| (успех)
2022-01-11T23:19:44.534Z - [username7] - wanna top up 43| (фэйл)
2022-01-12T00:19:44.534Z - [username10] - wanna top up 28| (фэйл)
2022-01-12T01:19:44.534Z - [username3] - wanna scoop 36| (успех)
2022-01-12T02:19:44.534Z - [username6] - wanna top up 12| (успех)
2022-01-12T03:19:44.534Z - [username8] - wanna top up 31| (успех)
2022-01-12T04:19:44.534Z - [username8] - wanna scoop 21| (успех)
2022-01-12T05:19:44.534Z - [username6] - wanna scoop 17| (успех)
2022-01-12T06:19:44.534Z - [username4] - wanna scoop 28| (фэйл)
2022-01-12T07:19:44.534Z - [username6] - wanna scoop 30| (фэйл)
2022-01-12T08:19:44.534Z - [username2] - wanna top up 46| (фэйл)
2022-01-12T09:19:44.534Z - [username6] - wanna scoop 15| (успех)
2022-01-12T10:19:44.534Z - [username9] - wanna scoop 42| (фэйл)
2022-01-12T11:19:44.534Z - [username9] - wanna scoop 34| (фэйл)
2022-01-12T12:19:44.534Z - [username10] - wanna top up 32| (успех)
2022-01-12T13:19:44.534Z - [username1] - wanna scoop 43| (фэйл)
2022-01-12T14:19:44.534Z - [username1] - wanna top up 20| (успех)
2022-01-12T15:19:44.534Z - [username2] - wanna top up 15| (фэйл)
2022-01-12T16:19:44.534Z - [username8] - wanna scoop 41| (успех)
2022-01-12T17:19:44.534Z - [username8] - wanna scoop 11| (успех)
2022-01-12T18:19:44.534Z - [username9] - wanna scoop 44| (фэйл)
2022-01-12T19:19:44.534Z - [username7] - wanna scoop 36| (фэйл)
2022-01-12T20:19:44.534Z - [username8] - wanna scoop 28| (фэйл)
2022-01-12T21:19:44.534Z - [username6] - wanna top up 23| (успех)
2022-01-12T22:19:44.534Z - [username7] - wanna top up 16| (успех)
2022-01-12T23:19:44.534Z - [username4] - wanna scoop 39| (успех)
2022-01-13T00:19:44.534Z - [username3] - wanna top up 10| (успех)
2022-01-13T01:19:44.534Z - [username7] - wanna top up 22| (успех)
2022-01-13T02:19:44.534Z - [username1] - wanna top up 42| (фэйл)
2022-01-13T03:19:44.534Z - [username6] - wanna scoop 48| (фэйл)
2022-01-13T04:19:44.534Z - [username6] - wanna scoop 24| (успех)
2022-01-13T05:19:44.534Z - [username1] - wanna top up 35| (успех)
2022-01-13T06:19:44.534Z - [username2] - wanna top up 31| (фэйл)
2022-01-13T07:19:44.534Z - [username6] - wanna scoop 42| (успех)
2022-01-13T08:19:44.534Z - [username8] - wanna top up 22| (успех)
2022-01-13T09:19:44.534Z - [username5] - wanna top up 14| (успех)
2022-01-13T10:19:44.534Z - [username7] - wanna scoop 18| (успех)
2022-01-13T11:19:44.534Z - [username8] - wanna top up 26| (успех)
2022-01-13T12:19:44.534Z - [username3] - wanna scoop 20| (успех)
2022-01-13T13:19:44.534Z - [username10] - wanna top up 27| (успех)
2022-01-13T14:19:44.534Z - [username9] - wanna scoop 30| (успех)
2022-01-13T15:19:44.534Z - [username5] - wanna scoop 23| (успех)
2022-01-13T16:19:44.534Z - [username6] - wanna scoop 22| (фэйл)
2022-01-13T17:19:44.534Z - [username3] - wanna top up 29| (успех)
2022-01-13T18:19:44.534Z - [username9] - wanna top up 19| (успех)
2022-01-13T19:19:44.534Z - [username9] - wanna scoop 38| (успех)
2022-01-13T20:19:44.534Z - [username10] - wanna scoop 24| (фэйл)
2022-01-13T21:19:44.534Z - [username2] - wanna top up 45| (успех)
2022-01-13T22:19:44.534Z - [username5] - wanna top up 45| (фэйл)
2022-01-13T23:19:44.534Z - [username6] - wanna top up 50| (фэйл)
2022-01-14T00:19:44.534Z - [username8] - wanna top up 18| (фэйл)
2022-01-14T01:19:44.534Z - [username4] - wanna top up 11| (фэйл)
2022-01-14T02:19:44.534Z - [username8] - wanna top up 29| (фэйл)
2022-01-14T03:19:44.534Z - [username8] - wanna scoop 19| (успех)
2022-01-14T04:19:44.534Z - [username9] - wanna scoop 36| (успех)
2022-01-14T05:19:44.534Z - [username3] - wanna top up 42| (успех)
2022-01-14T06:19:44.534Z - [username7] - wanna top up 42| (фэйл)
2022-01-14T07:19:44.534Z - [username2] - wanna top up 23| (фэйл)
2022-01-14T08:19:44.534Z - [username10] - wanna top up 16| (успех)
2022-01-14T09:19:44.534Z - [username1] - wanna top up 17| (фэйл)
2022-01-14T10:19:44.534Z - [username9] - wanna scoop 19| (успех)
2022-01-14T11:19:44.534Z - [username7] - wanna scoop 20| (успех)
2022-01-14T12:19:44.534Z - [username4] - wanna top up 48| (фэйл)
2022-01-14T13:19:44.534Z - [username3] - wanna top up 44| (фэйл)
2022-01-14T14:19:44.534Z - [username7] - wanna scoop 50| (фэйл)
2022-01-14T15:19:44.534Z - [username10] - wanna scoop 35| (фэйл)
2022-01-14T16:19:44.534Z - [username2] - wanna top up 18| (успех)
2022-01-14T17:19:44.534Z - [username10] - wanna top up 23| (успех)
2022-01-14T18:19:44.534Z - [username2] - wanna scoop 16| (успех)
2022-01-14T19:19:44.534Z - [username3] - wanna top up 39| (фэйл)
2022-01-14T20:19:44.534Z - [username2] - wanna top up 12| (успех)
2022-01-14T21:19:44.534Z - [username8] - wanna top up 11| (фэйл)
2022-01-14T22:19:44.534Z - [username8] - wanna top up 39| (фэйл)
2022-01-14T23:19:44.534Z - [username9] - wanna top up 25| (фэйл)
2022-01-15T00:19:44.534Z - [username2] - wanna top up 19| (фэйл)
2022-01-15T01:19:44.534Z - [username2] - wanna top up 50| (фэйл)
2022-01-15T02:19:44.534Z - [username1] - wanna top up 10| (фэйл)
2022-01-15T03:19:44.534Z - [username8] - wanna scoop 32| (успех)
2022-01-15T04:19:44.534Z - [username5] - wanna top up 13| (успех)
2022-01-15T05:19:44.534Z - [username7] - wanna top up 13| (успех)
2022-01-15T06:19:44.534Z - [username8] - wanna scoop 39| (успех)
2022-01-15T07:19:44.534Z - [username10] - wanna scoop 38| (фэйл)
2022-01-15T08:19:44.534Z - [username4] - wanna top up 46| (успех)
2022-01-15T09:19:44.534Z - [username3] - wanna top up 35| (фэйл)
2022-01-15T10:19:44.534Z - [username10] - wanna top up 40| (фэйл)
2022-01-15T11:19:44.534Z - [username5] - wanna scoop 33| (успех)
2022-01-15T12:19:44.534Z - [username8] - wanna top up 28| (успех)
2022-01-15T13:19:44.534Z - [username8] - wanna scoop 45| (успех)
2022-01-15T14:19:44.534Z - [username3] - wanna top up 43| (успех)
2022-01-15T15:19:44.534Z - [username4] - wanna scoop 21| (успех)
2022-01-15T16:19:44.534Z - [username10] - wanna top up 20| (успех)
2022-01-15T17:19:44.534Z - [username5] - wanna scoop 11| (успех)
2022-01-15T18:19:44.534Z - [username7] - wanna scoop 39| (успех)
2022-01-15T19:19:44.534Z - [username3] - wanna top up 25| (успех)
2022-01-15T20:19:44.534Z - [username8] - wanna top up 38| (фэйл)
2022-01-15T21:19:44.534Z - [username1] - wanna scoop 26| (успех)
2022-01-15T22:19:44.534Z - [username7] - wanna scoop 39| (фэйл)
2022-01-15T23:19:44.534Z - [username3] - wanna scoop 50| (фэйл)
2022-01-16T00:19:44.534Z - [username5] - wanna scoop 39| (фэйл)
2022-01-16T01:19:44.534Z - [username6] - wanna top up 14| (успех)
2022-01-16T02:19:44.534Z - [username8] - wanna scoop 35| (фэйл)
2022-01-16T03:19:44.535Z - [username1] - wanna top up 48| (успех)
2022-01-16T04:19:44.535Z - [username9] - wanna top up 25| (фэйл)
2022-01-16T05:19:44.535Z - [username6] - wanna scoop 47| (успех)
2022-01-16T06:19:44.535Z - [username9] - wanna scoop 46| (фэйл)
2022-01-16T07:19:44.535Z - [username10] - wanna top up 44| (успех)
2022-01-16T08:19:44.535Z - [username8] - wanna top up 26| (фэйл)
2022-01-16T09:19:44.535Z - [username9] - wanna top up 40| (фэйл)
2022-01-16T10:19:44.535Z - [username6] - wanna top up 47| (фэйл)
2022-01-16T11:19:44.535Z - [username3] - wanna top up 25| (фэйл)
2022-01-16T12:19:44.535Z - [username5] - wanna scoop 36| (успех)
2022-01-16T13:19:44.535Z - [username7] - wanna scoop 29| (фэйл)
2022-01-16T14:19:44.535Z - [username10] - wanna top up 28| (успех)
2022-01-16T15:19:44.535Z - [username3] - wanna scoop 42| (успех)
2022-01-16T16:19:44.535Z - [username9] - wanna top up 29| (успех)
2022-01-16T17:19:44.535Z - [username4] - wanna scoop 39| (успех)
2022-01-16T18:19:44.535Z - [username6] - wanna top up 14| (успех)
2022-01-16T19:19:44.535Z - [username2] - wanna scoop 27| (фэйл)
2022-01-16T20:19:44.535Z - [username7] - wanna top up 49| (успех)
2022-01-16T21:19:44.535Z - [username6] - wanna scoop 13| (успех)
2022-01-16T22:19:44.535Z - [username2] - wanna scoop 40| (успех)
2022-01-16T23:19:44.535Z - [username3] - wanna top up 24| (успех)
2022-01-17T00:19:44.535Z - [username10] - wanna scoop 27| (успех)
2022-01-17T01:19:44.535Z - [username6] - wanna scoop 33| (фэйл)
2022-01-17T02:19:44.535Z - [username8] - wanna scoop 14| (фэйл)
2022-01-17T03:19:44.535Z - [username4] - wanna top up 18| (успех)
2022-01-17T04:19:44.535Z - [username10] - wanna top up 22| (успех)
2022-01-17T05:19:44.535Z - [username7] - wanna scoop 39| (успех)
2022-01-17T06:19:44.535Z - [username4] - wanna top up 11| (успех)
2022-01-17T07:19:44.535Z - [username6] - wanna top up 20| (успех)
2022-01-17T08:19:44.535Z - [username5] - wanna scoop 47| (фэйл)
2022-01-17T09:19:44.535Z - [username7] - wanna scoop 38| (успех)
2022-01-17T10:19:44.535Z - [username7] - wanna top up 23| (успех)
2022-01-17T11:19:44.535Z - [username6] - wanna top up 44| (фэйл)
2022-01-17T12:19:44.535Z - [username8] - wanna top up 22| (успех)
2022-01-17T13:19:44.535Z - [username2] - wanna scoop 34| (успех)
2022-01-17T14:19:44.535Z - [username8] - wanna scoop 29| (фэйл)
2022-01-17T15:19:44.535Z - [username4] - wanna top up 38| (успех)
2022-01-17T16:19:44.535Z - [username2] - wanna top up 28| (фэйл)
2022-01-17T17:19:44.535Z - [username9] - wanna scoop 39| (успех)
2022-01-17T18:19:44.535Z - [username4] - wanna top up 40| (успех)
2022-01-17T19:19:44.535Z - [username8] - wanna scoop 48| (успех)
2022-01-17T20:19:44.535Z - [username4] - wanna scoop 37| (фэйл)
2022-01-17T21:19:44.535Z - [username3] - wanna top up 17| (успех)
2022-01-17T22:19:44.535Z - [username7] - wanna scoop 43| (фэйл)
2022-01-17T23:19:44.535Z - [username10] - wanna scoop 43| (фэйл)
2022-01-18T00:19:44.535Z - [username6] - wanna scoop 46| (фэйл)
2022-01-18T01:19:44.535Z - [username8] - wanna top up 14| (успех)
2022-01-18T02:19:44.535Z - [username6] - wanna scoop 40| (фэйл)
2022-01-18T03:19:44.535Z - [username2] - wanna top up 17| (успех)
2022-01-18T04:19:44.535Z - [username1] - wanna scoop 19| (успех)
2022-01-18T05:19:44.535Z - [username10] - wanna top up 23| (успех)
2022-01-18T06:19:44.535Z - [username6] - wanna top up 33| (фэйл)
2022-01-18T07:19:44.535Z - [username1] - wanna scoop 48| (успех)
2022-01-18T08:19:44.535Z - [username5] - wanna scoop 21| (фэйл)
2022-01-18T09:19:44.535Z - [username8] - wanna scoop 44| (фэйл)
2022-01-18T10:19:44.535Z - [username2] - wanna scoop 48| (фэйл)
2022-01-18T11:19:44.535Z - [username7] - wanna scoop 19| (фэйл)
2022-01-18T12:19:44.535Z - [username3] - wanna scoop 28| (фэйл)
2022-01-18T13:19:44.535Z - [username10] - wanna top up 50| (успех)
2022-01-18T14:19:44.535Z - [username5] - wanna top up 43| (фэйл)
2022-01-18T15:19:44.535Z - [username1] - wanna scoop 31| (успех)
2022-01-18T16:19:44.535Z - [username8] - wanna top up 29| (успех)
2022-01-18T17:19:44.535Z - [username4] - wanna top up 10| (фэйл)
2022-01-18T18:19:44.535Z - [username8] - wanna scoop 29| (успех)
2022-01-18T19:19:44.535Z - [username1] - wanna scoop 31| (фэйл)
2022-01-18T20:19:44.535Z - [username2] - wanna top up 24| (успех)
2022-01-18T21:19:44.535Z - [username8] - wanna top up 45| (фэйл)
2022-01-18T22:19:44.535Z - [username8] - wanna scoop 50| (успех)
2022-01-18T23:19:44.535Z - [username3] - wanna top up 15| (успех)
2022-01-19T00:19:44.535Z - [username10] - wanna scoop 33| (фэйл)
2022-01-19T01:19:44.535Z - [username2] - wanna top up 35| (успех)
2022-01-19T02:19:44.535Z - [username9] - wanna scoop 26| (успех)
2022-01-19T03:19:44.535Z - [username7] - wanna top up 28| (успех)
2022-01-19T04:19:44.535Z - [username5] - wanna top up 40| (фэйл)
2022-01-19T05:19:44.535Z - [username8] - wanna scoop 27| (успех)
2022-01-19T06:19:44.535Z - [username1] - wanna scoop 18| (успех)
2022-01-19T07:19:44.535Z - [username1] - wanna top up 50| (успех)
2022-01-19T08:19:44.535Z - [username7] - wanna top up 37| (фэйл)
2022-01-19T09:19:44.535Z - [username6] - wanna top up 34| (фэйл)
2022-01-19T10:19:44.535Z - [username7] - wanna top up 17| (фэйл)
2022-01-19T11:19:44.535Z - [username1] - wanna top up 18| (фэйл)
2022-01-19T12:19:44.535Z - [username7] - wanna scoop 24| (успех)
2022-01-19T13:19:44.535Z - [username4] - wanna top up 14| (успех)
2022-01-19T14:19:44.535Z - [username2] - wanna scoop 47| (успех)
2022-01-19T15:19:44.535Z - [username9] - wanna top up 45| (успех)
2022-01-19T16:19:44.535Z - [username6] - wanna scoop 19| (успех)
2022-01-19T17:19:44.535Z - [username4] - wanna top up 31| (успех)
2022-01-19T18:19:44.535Z - [username1] - wanna scoop 47| (успех)
2022-01-19T19:19:44.535Z - [username9] - wanna top up 12| (успех)
2022-01-19T20:19:44.535Z - [username10] - wanna top up 28| (успех)
2022-01-19T21:19:44.535Z - [username5] - wanna top up 12| (успех)
2022-01-19T22:19:44.535Z - [username7] - wanna top up 12| (фэйл)
2022-01-19T23:19:44.535Z - [username8] - wanna scoop 44| (успех)
2022-01-20T00:19:44.535Z - [username5] - wanna scoop 49| (фэйл)
2022-01-20T01:19:44.536Z - [username6] - wanna scoop 30| (фэйл)
2022-01-20T02:19:44.536Z - [username2] - wanna top up 23| (успех)
2022-01-20T03:19:44.536Z - [username5] - wanna top up 39| (фэйл)
2022-01-20T04:19:44.536Z - [username2] - wanna top up 49| (фэйл)
2022-01-20T05:19:44.536Z - [username9] - wanna top up 18| (успех)
2022-01-20T06:19:44.536Z - [username7] - wanna scoop 19| (успех)
2022-01-20T07:19:44.536Z - [username8] - wanna top up 15| (успех)
2022-01-20T08:19:44.536Z - [username2] - wanna top up 12| (фэйл)
2022-01-20T09:19:44.536Z - [username3] - wanna scoop 35| (успех)
2022-01-20T10:19:44.536Z - [username3] - wanna scoop 12| (успех)
2022-01-20T11:19:44.536Z - [username5] - wanna top up 24| (успех)
2022-01-20T12:19:44.536Z - [username9] - wanna scoop 41| (фэйл)
2022-01-20T13:19:44.536Z - [username3] - wanna top up 35| (фэйл)
2022-01-20T14:19:44.536Z - [username3] - wanna scoop 50| (фэйл)
2022-01-20T15:19:44.536Z - [username8] - wanna scoop 33| (успех)
2022-01-20T16:19:44.536Z - [username2] - wanna top up 37| (успех)
2022-01-20T17:19:44.536Z - [username3] - wanna top up 10| (успех)
2022-01-20T18:19:44.536Z - [username2] - wanna scoop 15| (успех)
2022-01-20T19:19:44.536Z - [username2] - wanna top up 20| (успех)
2022-01-20T20:19:44.536Z - [username10] - wanna top up 21| (фэйл)
2022-01-20T21:19:44.536Z - [username8] - wanna top up 45| (фэйл)
2022-01-20T22:19:44.536Z - [username7] - wanna top up 37| (фэйл)
2022-01-20T23:19:44.536Z - [username5] - wanna scoop 29| (успех)
2022-01-21T00:19:44.536Z - [username3] - wanna scoop 37| (фэйл)
2022-01-21T01:19:44.536Z - [username4] - wanna scoop 40| (фэйл)
2022-01-21T02:19:44.536Z - [username6] - wanna scoop 23| (успех)
2022-01-21T03:19:44.536Z - [username6] - wanna top up 40| (успех)
2022-01-21T04:19:44.536Z - [username5] - wanna top up 12| (успех)
2022-01-21T05:19:44.536Z - [username2] - wanna scoop 14| (успех)
2022-01-21T06:19:44.536Z - [username6] - wanna top up 29| (фэйл)
2022-01-21T07:19:44.536Z - [username9] - wanna scoop 45| (фэйл)
2022-01-21T08:19:44.536Z - [username8] - wanna scoop 21| (успех)
2022-01-21T09:19:44.536Z - [username7] - wanna scoop 18| (успех)
2022-01-21T10:19:44.536Z - [username9] - wanna top up 30| (успех)
2022-01-21T11:19:44.536Z - [username8] - wanna scoop 24| (успех)
2022-01-21T12:19:44.536Z - [username6] - wanna top up 13| (успех)
2022-01-21T13:19:44.536Z - [username1] - wanna scoop 35| (фэйл)
2022-01-21T14:19:44.536Z - [username7] - wanna scoop 14| (успех)
2022-01-21T15:19:44.536Z - [username6] - wanna top up 25| (успех)
2022-01-21T16:19:44.536Z - [username5] - wanna top up 30| (успех)
2022-01-21T17:19:44.536Z - [username1] - wanna top up 12| (фэйл)
2022-01-21T18:19:44.536Z - [username8] - wanna top up 27| (фэйл)
2022-01-21T19:19:44.536Z - [username3] - wanna scoop 11| (успех)
2022-01-21T20:19:44.536Z - [username6] - wanna scoop 20| (успех)
2022-01-21T21:19:44.536Z - [username10] - wanna scoop 20| (успех)
2022-01-21T22:19:44.536Z - [username5] - wanna top up 46| (успех)
2022-01-21T23:19:44.536Z - [username8] - wanna scoop 18| (успех)
2022-01-22T00:19:44.536Z - [username9] - wanna scoop 41| (фэйл)
2022-01-22T01:19:44.536Z - [username7] - wanna scoop 49| (фэйл)
2022-01-22T02:19:44.536Z - [username6] - wanna top up 13| (успех)
2022-01-22T03:19:44.536Z - [username7] - wanna scoop 30| (успех)
2022-01-22T04:19:44.536Z - [username2] - wanna top up 26| (успех)
2022-01-22T05:19:44.536Z - [username7] - wanna top up 35| (фэйл)
2022-01-22T06:19:44.536Z - [username9] - wanna scoop 29| (успех)
2022-01-22T07:19:44.536Z - [username8] - wanna top up 38| (успех)
2022-01-22T08:19:44.536Z - [username2] - wanna scoop 24| (успех)
2022-01-22T09:19:44.536Z - [username9] - wanna top up 25| (успех)
2022-01-22T10:19:44.536Z - [username1] - wanna top up 11| (фэйл)
2022-01-22T11:19:44.536Z - [username1] - wanna scoop 38| (успех)
2022-01-22T12:19:44.536Z - [username10] - wanna top up 25| (успех)
2022-01-22T13:19:44.536Z - [username5] - wanna top up 19| (успех)
2022-01-22T14:19:44.536Z - [username10] - wanna scoop 13| (успех)
2022-01-22T15:19:44.536Z - [username1] - wanna scoop 35| (успех)
2022-01-22T16:19:44.536Z - [username1] - wanna top up 25| (успех)
2022-01-22T17:19:44.536Z - [username6] - wanna scoop 37| (успех)
2022-01-22T18:19:44.536Z - [username3] - wanna top up 25| (успех)
2022-01-22T19:19:44.536Z - [username7] - wanna scoop 50| (фэйл)
2022-01-22T20:19:44.536Z - [username6] - wanna scoop 45| (фэйл)
2022-01-22T21:19:44.536Z - [username7] - wanna top up 24| (успех)
2022-01-22T22:19:44.536Z - [username9] - wanna scoop 37| (успех)
2022-01-22T23:19:44.536Z - [username1] - wanna top up 43| (успех)
2022-01-23T00:19:44.536Z - [username3] - wanna scoop 45| (успех)
2022-01-23T01:19:44.536Z - [username8] - wanna top up 28| (успех)
2022-01-23T02:19:44.536Z - [username3] - wanna scoop 29| (успех)
2022-01-23T03:19:44.536Z - [username2] - wanna top up 47| (успех)
2022-01-23T04:19:44.536Z - [username4] - wanna top up 22| (фэйл)
2022-01-23T05:19:44.536Z - [username3] - wanna top up 45| (фэйл)
2022-01-23T06:19:44.536Z - [username3] - wanna scoop 30| (успех)
2022-01-23T07:19:44.536Z - [username2] - wanna top up 12| (успех)
2022-01-23T08:19:44.536Z - [username9] - wanna top up 27| (фэйл)
2022-01-23T09:19:44.536Z - [username3] - wanna scoop 38| (успех)
2022-01-23T10:19:44.536Z - [username7] - wanna top up 42| (успех)
2022-01-23T11:19:44.536Z - [username7] - wanna scoop 39| (успех)
2022-01-23T12:19:44.536Z - [username3] - wanna scoop 21| (фэйл)
2022-01-23T13:19:44.536Z - [username9] - wanna scoop 17| (фэйл)
2022-01-23T14:19:44.536Z - [username8] - wanna top up 37| (успех)
2022-01-23T15:19:44.536Z - [username3] - wanna scoop 12| (успех)
2022-01-23T16:19:44.536Z - [username6] - wanna scoop 12| (успех)
2022-01-23T17:19:44.536Z - [username1] - wanna top up 37| (успех)
2022-01-23T18:19:44.536Z - [username8] - wanna scoop 10| (успех)
2022-01-23T19:19:44.536Z - [username3] - wanna top up 50| (фэйл)
2022-01-23T20:19:44.536Z - [username10] - wanna scoop 44| (успех)
2022-01-23T21:19:44.537Z - [username4] - wanna top up 28| (успех)
2022-01-23T22:19:44.537Z - [username10] - wanna scoop 27| (успех)
2022-01-23T23:19:44.537Z - [username2] - wanna top up 31| (успех)
2022-01-24T00:19:44.537Z - [username3] - wanna top up 17| (успех)
2022-01-24T01:19:44.537Z - [username7] - wanna top up 17| (фэйл)
2022-01-24T02:19:44.537Z - [username10] - wanna top up 31| (фэйл)
2022-01-24T03:19:44.537Z - [username8] - wanna top up 20| (фэйл)
2022-01-24T04:19:44.537Z - [username10] - wanna top up 14| (успех)
2022-01-24T05:19:44.537Z - [username7] - wanna scoop 12| (успех)
2022-01-24T06:19:44.537Z - [username8] - wanna top up 18| (фэйл)
2022-01-24T07:19:44.537Z - [username3] - wanna scoop 18| (успех)
2022-01-24T08:19:44.537Z - [username6] - wanna scoop 47| (фэйл)
2022-01-24T09:19:44.537Z - [username3] - wanna top up 21| (успех)
2022-01-24T10:19:44.537Z - [username7] - wanna top up 41| (фэйл)
2022-01-24T11:19:44.537Z - [username7] - wanna top up 47| (фэйл)
2022-01-24T12:19:44.537Z - [username8] - wanna scoop 27| (успех)
2022-01-24T13:19:44.537Z - [username1] - wanna top up 24| (успех)
2022-01-24T14:19:44.537Z - [username3] - wanna top up 18| (фэйл)
2022-01-24T15:19:44.537Z - [username8] - wanna scoop 32| (успех)
2022-01-24T16:19:44.537Z - [username7] - wanna scoop 18| (успех)
2022-01-24T17:19:44.537Z - [username6] - wanna top up 14| (успех)
2022-01-24T18:19:44.537Z - [username6] - wanna scoop 48| (фэйл)
2022-01-24T19:19:44.537Z - [username6] - wanna scoop 32| (фэйл)
2022-01-24T20:19:44.537Z - [username4] - wanna scoop 49| (фэйл)
2022-01-24T21:19:44.537Z - [username10] - wanna scoop 15| (успех)
2022-01-24T22:19:44.537Z - [username4] - wanna top up 11| (успех)
2022-01-24T23:19:44.537Z - [username9] - wanna top up 27| (успех)
2022-01-25T00:19:44.537Z - [username5] - wanna scoop 13| (успех)
2022-01-25T01:19:44.537Z - [username8] - wanna top up 20| (успех)
2022-01-25T02:19:44.537Z - [username5] - wanna top up 36| (фэйл)
2022-01-25T03:19:44.537Z - [username10] - wanna top up 40| (фэйл)
2022-01-25T04:19:44.537Z - [username4] - wanna top up 16| (успех)
2022-01-25T05:19:44.537Z - [username6] - wanna scoop 14| (успех)
2022-01-25T06:19:44.537Z - [username9] - wanna scoop 24| (успех)
2022-01-25T07:19:44.537Z - [username10] - wanna scoop 47| (фэйл)
2022-01-25T08:19:44.537Z - [username9] - wanna top up 29| (успех)
2022-01-25T09:19:44.537Z - [username9] - wanna scoop 50| (успех)
2022-01-25T10:19:44.537Z - [username8] - wanna scoop 49| (фэйл)
2022-01-25T11:19:44.537Z - [username6] - wanna scoop 39| (фэйл)
2022-01-25T12:19:44.537Z - [username8] - wanna scoop 32| (фэйл)
2022-01-25T13:19:44.537Z - [username4] - wanna scoop 17| (фэйл)
2022-01-25T14:19:44.537Z - [username6] - wanna top up 25| (успех)
2022-01-25T15:19:44.537Z - [username6] - wanna top up 12| (успех)
2022-01-25T16:19:44.537Z - [username4] - wanna top up 18| (успех)
2022-01-25T17:19:44.537Z - [username10] - wanna scoop 20| (успех)
2022-01-25T18:19:44.537Z - [username1] - wanna scoop 18| (успех)
2022-01-25T19:19:44.537Z - [username5] - wanna scoop 15| (успех)
2022-01-25T20:19:44.537Z - [username5] - wanna scoop 27| (фэйл)
2022-01-25T21:19:44.537Z - [username10] - wanna top up 19| (успех)
2022-01-25T22:19:44.537Z - [username7] - wanna top up 42| (успех)
2022-01-25T23:19:44.537Z - [username10] - wanna scoop 11| (успех)
2022-01-26T00:19:44.537Z - [username10] - wanna scoop 16| (успех)
2022-01-26T01:19:44.537Z - [username4] - wanna scoop 18| (успех)
2022-01-26T02:19:44.537Z - [username10] - wanna top up 29| (успех)
2022-01-26T03:19:44.537Z - [username4] - wanna scoop 20| (успех)
2022-01-26T04:19:44.537Z - [username3] - wanna scoop 50| (фэйл)
2022-01-26T05:19:44.537Z - [username3] - wanna top up 35| (успех)
2022-01-26T06:19:44.537Z - [username9] - wanna top up 46| (фэйл)
2022-01-26T07:19:44.537Z - [username6] - wanna top up 32| (фэйл)
2022-01-26T08:19:44.537Z - [username1] - wanna scoop 44| (успех)
2022-01-26T09:19:44.537Z - [username3] - wanna scoop 19| (успех)
2022-01-26T10:19:44.537Z - [username2] - wanna top up 38| (успех)
2022-01-26T11:19:44.537Z - [username6] - wanna top up 39| (фэйл)
2022-01-26T12:19:44.537Z - [username5] - wanna top up 18| (успех)
2022-01-26T13:19:44.537Z - [username4] - wanna top up 47| (фэйл)
2022-01-26T14:19:44.537Z - [username5] - wanna scoop 16| (успех)
2022-01-26T15:19:44.537Z - [username6] - wanna scoop 10| (успех)
2022-01-26T16:19:44.537Z - [username9] - wanna scoop 19| (успех)
